### MAP STATISTICS ###
# slope slope_std length length_std
# 45.34 4.8005 0.53 0.2470
# 11.95 4.1251 0.69 0.2501
# 111.95 5.6983 0.68 0.2422
### LINE COORDINATES ###
-5.00 -5.00 -4.12 -4.72
-4.12 -4.72 -4.20 -4.30
-4.20 -4.30 -3.82 -3.94
-3.82 -3.94 -3.35 -3.38
-3.35 -3.38 -2.70 -3.23
-2.70 -3.23 -3.04 -2.39
-3.04 -2.39 -3.13 -2.10
-3.13 -2.10 -2.80 -1.99
-2.80 -1.99 -2.56 -1.78
-2.56 -1.78 -1.76 -1.53
-1.76 -1.53 -2.16 -0.64
-2.16 -0.64 -1.94 -0.59
-1.94 -0.59 -1.49 -0.12
-1.49 -0.12 -1.97 0.65
-1.97 0.65 -1.28 0.79
-1.28 0.79 -0.81 1.23
-0.81 1.23 -1.04 2.09
-1.04 2.09 -1.31 2.65
-1.31 2.65 -1.65 3.42
-1.65 3.42 -1.33 3.69
-1.33 3.69 -1.52 4.32
-1.52 4.32 -1.37 4.45
-1.37 4.45 -0.39 4.64
-0.39 4.64 -0.17 4.87
-0.17 4.87 0.81 5.01
0.81 5.01 1.11 5.06
1.11 5.06 1.84 5.62
1.84 5.62 2.54 5.72
2.54 5.72 2.72 5.93
2.72 5.93 3.46 6.59
3.46 6.59 3.14 7.33
3.14 7.33 3.79 7.81
3.79 7.81 4.77 7.82
4.77 7.82 5.62 8.06
5.62 8.06 5.14 8.90
5.14 8.90 4.94 9.41
4.94 9.41 5.08 9.60
5.08 9.60 5.26 9.82
5.26 9.82 5.87 10.46
5.87 10.46 6.19 10.82
6.19 10.82 6.05 11.07
6.05 11.07 5.93 11.45
5.93 11.45 6.59 11.54
6.59 11.54 7.26 11.67
7.26 11.67 7.60 11.74
7.60 11.74 7.97 12.19
7.97 12.19 8.93 12.42
8.93 12.42 9.63 12.59
9.63 12.59 10.11 12.73
10.11 12.73 10.33 12.96
